,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
M,Maa (Mami),Men in Black,Minecraft,Mountain Dew,Middle Earth (Mordor),Megaphone,Magazine,Muhammed Ali,Mii,Michael Jackson,Mario Kart,Mona Lisa,,Moon,Mom,Militärpolizei,Mannequin,Mars,Mouse,Minotaur,Muscle,Movie,Lawnmower,Max Park
N,Natrium/NA,Nuts and Bolts,Nacho,Needle,Neo (Keanu Reeves),Nerf,Nigga,No Homo (Joel),Nicotine,Ninja,Nike,Nail,Name,,No!,Nipple,Nocco (Noqo),Chcuk Norris,Nissan,Nut/Knot,Nuclea,Nerve,Nuclear Waste,Nintendo NX
O,Oatmeal,OB (Tampon),Ocean,Overdose (Spritze),Oboe,Only Fans,OG Florin,One Handed,Oil,Orange Juice,Prof Oak,Olive,Oma,Onion,,One Piece (Luffy),Old Quagmire,Oreo,Ostrich,Otter,Ouicha Board,Oven,Owl,Oxigen (Gas tank)
P,PA (Verstärker),PB&J,Personal Computer,Panda,Penguin,PDF,Pig,Phone,Pie,Pajamas,Pikachu,Pole,Puma,Penis,Polo-Shirt,,pq-Formel,Personal Record (Larry Wheels),Photoshop,Pet,PUlt,Pivot,Persönlicher Wagen,Pixel
Q,Q&A,Quba,Quack,Quidditch,Queer,Queef,Quagmire,Quohog (family Guy),Qi (räucherstäbchen),Squeegee (Schaber),Quack (Duck),Quill (Feder),Quisimodo,Queen,Quo,QP,,QR-Code,Ghost,qtCinderella,Queue,Quiver,Qwerty,Quicksand
R,Rararara (Shakira),Rabbit,Rubiks Cube,Road,Reeee (Frog),Roof,balRoG,Rohan (Eomer),Rice,RJ-45 (Ethernet),The Rock,Roller,Roman,Rain,ROku,Rope,Rook(q),,Bob Ross,Rat,Rufus,Revolver,Row,Rex
S,South America,Submarine,Soccer,San Diego (South Park Stan Wanking),See,Surf,Segway,Sheep,Psy,Steve Jobs,Sack,Seal,Samuel,Sun,Sofa,Spaghetti,SQl,Sombrero,,Stephan,Sugar,Seven,Switzerland (Flag),Sex
T,Tantrum,Tabacco,Taco,Toad,Tee,Transformer,Tiger,Thor,Texas Insturments TI,Torjan (Brad Pitt),Token,Tail (Goku),Timmy Turner,Toto (Africa),TNT,Toilet Paper,Tequila,Tree,Tsumani,,Tütü (Ballerina),TV,Towel,Texas
U,USA,Usain Bolt,Unicorn,Udder (Euter),Ukulele,UFO,Ugly,Uhhhhhhhh (lemme get the uuhhhh),Unicylce,Ujenn (Mr Krabs9,United Kindom,Unlucky,Umbrella,the UN,UNO,UP (Guggihüggel),Uruq-Hai,Urin,zeUS,Unity,,UV-Rays,"Uwu, cringe",tUXedo
V,Viagra,Vibe,Victor,Vin Diesel/Video,Vending Machine,Venus Flytrap,Vagina,Vorhaut,Visa Card,,Vikinger,Vladimir Putin,Vampire,Van,Volcano,Vape,Voqu,Virtual Reality,"Wallis, Vase",Vet,Vulgär,,VW-Bus,Vortex
W,Whale,Web,WC,WD-40,Weed,Wolf,Wig/Wohngemeinschaft,Whistle,Nintendo Wii,Wedge,Wok,Wool,Worm,Wine,"WOOOO, Charlie",Weapon,Waqe (Japanoschlampen),war,Websocket,Water,"Worm-Tongue, wrum",wave,,"wixxen, wax"
X,x-Alligator,x-Banana,x-Cube,xD,x-Eel,x-Feather,x-Gorilla,x-Hitler,Xylophone,x-Josh,x-Kite,x-Lion,x-Mouse,x-Nigger,x-Orange,x-Panda,xQc,x-Roman,x-Sandal,x-Trex,x-Unicorn,x-Van,x-Walrus,
